# perf report -i $SCRATCH/perf_bench2.data --stdio -n --no-children --sort=symbol --dsos=nif_pool.so 2>&1 | grep -E "^\s*[0-9]+\.[0-9]+%"
# perf report -i $SCRATCH/perf_bench2.data --stdio -n --no-children --sort=symbol --dsos=beam.smp 2>&1 | grep -E "^\s*[0-9]+\.[0-9]+%"
# To display the perf.data header info, please use --header/--header-only options.
#
#
# Total Lost Samples: 0
#
# Samples: 42K of event 'cpu/cycles/P'
# Event count (approx.): 147839290519
#
# Overhead       Samples  Symbol                                                                                                                                                                                  IPC   [IPC Coverage]
# ........  ............  ......................................................................................................................................................................................  ....................
#
     0.04%            15  [.] beam_jit_wait_locked(process*, void const*)                                                                                                                                         -      -            
     0.04%            15  [.] erts_psd_get                                                                                                                                                                        -      -            
     0.04%            14  [.] send_check_result                                                                                                                                                                   -      -            
     0.04%            14  [.] erts_export_get_or_make_stub                                                                                                                                                        -      -            
     0.04%            12  [.] erts_heap_alloc                                                                                                                                                                     -      -            
     0.04%            14  [.] non_empty_runq                                                                                                                                                                      -      -            
     0.04%            14  [.] erts_sspa_remote_free                                                                                                                                                               -      -            
     0.03%            14  [.] ethr_tsd_get                                                                                                                                                                        -      -            
     0.03%            13  [.] erts_cleanup_messages                                                                                                                                                               -      -            
     0.03%            13  [.] erts_twheel_set_timer                                                                                                                                                               -      -            
     0.03%            14  [.] setup_rootset                                                                                                                                                                       -      -            
     0.03%            13  [.] enif_inspect_iolist_as_binary                                                                                                                                                       -      -            
     0.03%            13  [.] erts_list_length                                                                                                                                                                    -      -            
     0.03%            13  [.] esock_activate_next_writer                                                                                                                                                          -      -            
     0.03%            13  [.] enif_alloc_binary                                                                                                                                                                   -      -            
     0.03%            12  [.] erts_msgq_recv_marker_create_insert                                                                                                                                                 -      -            
     0.03%            13  [.] erts_link_tree_foreach_delete_yielding                                                                                                                                              -      -            
     0.03%            12  [.] full_flush_env                                                                                                                                                                      -      -            
     0.03%            12  [.] handle_wakeup_requests                                                                                                                                                              -      -            
     0.03%            12  [.] latin1_to_utf8.constprop.0                                                                                                                                                          -      -            
     0.03%            12  [.] copy_in_registers                                                                                                                                                                   -      -            
     0.03%            12  [.] list_to_atom_1                                                                                                                                                                      -      -            
     0.03%            12  [.] ets_insert_2                                                                                                                                                                        -      -            
     0.03%            12  [.] enif_get_list_cell                                                                                                                                                                  -      -            
     0.03%            12  [.] erts_poll_interrupt                                                                                                                                                                 -      -            
     0.03%            12  [.] ethr_rwmutex_rwunlock                                                                                                                                                               -      -            
